defect_id,defect_type,material_grade,product_id,date,dataset
717,1086,Grade 2,7339,2021-01-23,Training
2963,1045,Grade 1,17952,2021-01-11,Training
508,1151,Grade 1,2918,2021-01-08,Training
2257,1099,Grade 1P,8624,2020-12-01,Training
1753,1171,Grade 2,9346,2020-12-04,Training
4360,1052,Grade B1,3127,2020-12-04,Training
3122,1078,Grade 1,5242,2021-01-18,Training
5241,1078,Grade 2P,10363,2020-12-24,Test
3478,1078,Grade 2,6196,2021-01-23,Training
4425,1171,Grade 1P,2785,2021-01-27,Training
6027,1098,Grade P1,9043,2020-12-01,Test
3042,1001,Grade 1,3856,2020-12-23,Training
3439,1052,Grade KP,29895,2020-12-22,Training
5394,1052,Grade 1,4592,2021-01-24,Test
6359,1098,Grade A,7204,2021-01-23,Test
3376,1078,Grade 1,591,2020-12-05,Training
3459,1151,Grade K1,2054,2021-01-15,Training
616,1052,Grade 1,6714,2020-12-04,Training
5182,1099,Grade 1P,8624,2020-12-01,Test
329,1079,Grade B1,1696,2020-12-29,Training
3145,1078,Grade 1,25846,2021-01-18,Training
1001,1151,Grade KP,3405,2021-01-04,Training
5341,1078,Grade 1P,2252,2021-01-14,Test
61,1086,Grade 2,15429,2020-12-01,Training
6205,1079,Grade 1,367,2021-01-24,Test
4435,1171,Grade 1P,2785,2021-01-27,Training
5357,1072,,328,2020-12-18,Test
2849,1072,,328,2020-12-18,Training
31,1099,Grade 1,6734,2020-12-25,Training
6593,1099,Grade B1,3727,2021-01-18,Test
3807,1078,Grade 1P,10789,2020-12-19,Training
3639,1041,Grade 2P,3993,2020-12-04,Training
3250,1052,Grade 1,5034,2020-12-26,Training
2863,1072,,328,2020-12-18,Training
4110,1030,Grade B1,427,2020-12-31,Training
4663,1058,Grade 2,3357,2021-01-27,Training
5167,1052,Grade 2,3692,2021-01-08,Test
17,1072,Grade 2P,7273,2021-01-03,Training
1613,1000,Grade 1P,14536,2020-12-24,Training
3442,1041,Grade 2,313,2020-12-24,Training
5446,1098,Grade 1,70,2020-12-26,Test
2491,1072,Grade 2P,10809,2021-01-21,Training
2853,1072,,328,2020-12-18,Training
1179,1041,Grade 2P,11476,2020-12-04,Training
1089,1084,Grade 1P,5985,2021-01-13,Training
4606,1058,Grade 2,3357,2021-01-27,Training
1676,1000,Grade 1P,18433,2020-12-24,Training
5958,1041,Grade 2,1300,2020-12-15,Test
6678,1041,Grade 2P,8599,2020-12-01,Test
2697,1098,Grade 2,4710,2020-12-17,Training
6126,1039,Grade 1P,5896,2021-01-14,Test
4807,1151,Grade 2,12034,2021-01-09,Training
4676,1041,Grade 2,6838,2020-12-15,Training
50,1098,Grade P1,802,2020-12-07,Training
3223,1078,Grade 1,3935,2021-01-11,Training
6555,1098,Grade AP,7732,2021-01-23,Test
6356,1098,Grade A,7204,2021-01-23,Test
4052,1030,Grade B1,10123,2021-01-07,Training
1549,1098,Grade 1P,5110,2021-01-21,Training
3538,1098,Grade A,18898,2021-01-23,Training
217,1039,Grade 1P,5896,2021-01-14,Training
1725,1171,Grade 2,2913,2020-12-04,Training
247,1045,,644,2020-12-18,Training
2683,1060,Grade 1,3335,2021-01-26,Training
4894,1151,Grade 2,7472,2021-01-10,Training
4983,1045,Grade 1P,127,2020-12-24,Training
4543,1171,Grade 2,7613,2021-01-27,Training
3025,1078,Grade 1,8320,2020-12-23,Training
4762,1060,Grade 1,9580,2021-01-09,Training
3302,1052,Grade 1,6865,2020-12-26,Training
2504,1072,Grade 2P,16191,2021-01-21,Training
5667,1098,Grade AP,12805,2020-12-23,Test
6030,1019,Grade 1P,6594,2021-01-09,Test
2204,1052,Grade 2,3692,2021-01-08,Training
1625,1000,Grade 1P,14536,2020-12-24,Training
386,1079,Grade 1,3554,2021-01-24,Training
6517,1030,Grade 1P,8574,2021-01-07,Test
5185,1099,Grade 1P,8624,2020-12-01,Test
5304,1086,Grade 2,3082,2020-12-01,Test
230,1099,Grade 2,41,2021-01-10,Training
1052,1151,Grade 1P,12805,2021-01-13,Training
477,1151,Grade 1,4735,2021-01-06,Training
2629,1086,Grade 2,3082,2020-12-01,Training
6159,1045,,10318,2020-12-18,Test
93,1086,Grade 2,15429,2020-12-01,Training
5891,1171,Grade 2P,18070,2021-01-27,Test
2160,1052,Grade 2,2173,2021-01-08,Training
5996,1151,Grade 1,5151,2021-01-09,Test
4733,1041,Grade 2,15154,2020-12-15,Training
2473,1078,Grade 2P,7408,2020-12-24,Training
1421,1098,Grade AP,7732,2021-01-23,Training
2689,1060,Grade 1,5272,2021-01-26,Training
2541,1052,Grade 1,6078,2020-12-18,Training
4309,1052,Grade 1P,2821,2020-12-04,Training
3723,1078,Grade 2P,2723,2020-12-23,Training
1541,1098,Grade AP,17636,2020-12-13,Training
6471,1084,Grade 2P,8990,2020-12-25,Test
3525,1098,Grade A,7204,2021-01-23,Training
5514,1052,Grade 1,6865,2020-12-26,Test
4266,1151,Grade 1,1407,2020-12-31,Training
6012,1045,Grade B1,8753,2020-12-16,Test
5315,1086,Grade 2,3082,2020-12-01,Test
4498,1171,Grade 1P,6020,2021-01-27,Training
2542,1052,Grade 1,6078,2020-12-18,Training
1362,1030,Grade 1P,11039,2021-01-07,Training
501,1098,Grade 2,1745,2021-01-20,Training
4864,1098,Grade 1P,5110,2021-01-21,Training
5255,1078,Grade 2P,7408,2020-12-24,Test
2614,1086,Grade 2,3082,2020-12-01,Training
1472,1079,Grade B1,5694,2020-12-16,Training
6656,1171,Grade 2,9346,2020-12-04,Test
1438,1098,Grade AP,7732,2021-01-23,Training
3516,1084,Grade 2,7079,2021-01-23,Training
6261,1151,Grade 1,13637,2020-12-16,Test
6249,1079,Grade 1,5357,2021-01-18,Test
2477,1078,Grade 2P,7408,2020-12-24,Training
6290,1084,Grade 1,8301,2020-12-05,Test
5491,1078,Grade 1,16361,2020-12-16,Test
3413,1041,Grade 2,1446,2020-12-10,Training
4449,1171,Grade 2P,18070,2021-01-27,Training
3181,1078,Grade 1,8888,2020-12-16,Training
239,1079,,8011,2020-12-18,Training
23,1099,Grade 1,6734,2020-12-25,Training
3283,1052,Grade 1,6865,2020-12-26,Training
6562,1019,Grade 2,1736,2021-01-02,Test
5249,1078,Grade 2P,2767,2020-12-24,Test
6138,1039,Grade 1P,5896,2021-01-14,Test
2254,1099,Grade 1P,8624,2020-12-01,Training
2570,1086,Grade 2,3082,2020-12-01,Training
4575,1052,Grade 2,3719,2021-01-27,Training
3898,1030,Grade 1P,2084,2021-01-07,Training
1398,1151,Grade 2,15948,2021-01-27,Training
3927,1060,Grade B1,6131,2021-01-07,Training
6039,1045,Grade 1P,5439,2020-12-24,Test
2137,1052,Grade 2,2173,2021-01-08,Training
5109,1099,Grade B1,14168,2020-12-16,Training
132,1086,Grade 1,1709,2020-12-29,Training
5708,1060,Grade 1P,11039,2021-01-07,Test
233,1099,Grade 2,41,2021-01-10,Training
4842,1045,Grade B1,8753,2020-12-16,Training
3544,1078,Grade WP,16820,2020-12-21,Training
769,1086,Grade 2,7339,2021-01-23,Training
4612,1058,Grade 2,3357,2021-01-27,Training
1580,1099,Grade B1,12779,2021-01-18,Training
339,1079,Grade B1,7912,2020-12-15,Training
1425,1098,Grade AP,7732,2021-01-23,Training
4924,1079,Grade 1P,7203,2021-01-17,Training
3599,1041,Grade AP,11980,2020-12-31,Training
2451,1078,Grade 2P,7408,2020-12-24,Training
4906,1151,Grade 2,7472,2021-01-10,Training
5629,1060,Grade 1,15660,2020-12-25,Test
3863,1030,Grade 1P,8574,2021-01-07,Training
2562,1086,Grade 2,9822,2020-12-01,Training
1621,1000,Grade 1P,14536,2020-12-24,Training
5092,1030,Grade 1,15671,2020-12-23,Training
5348,1078,Grade 1P,10010,2021-01-14,Test
2230,1052,Grade 1,675,2020-12-29,Training
1875,1030,Grade 1P,282,2020-12-01,Training
1402,1041,Grade 2,12873,2020-12-15,Training
2717,1053,Grade B1,8451,2020-12-29,Training
2304,1072,Grade 2P,7273,2021-01-03,Training
4229,1151,Grade 1,1407,2020-12-31,Training
1333,1030,Grade 1P,8574,2021-01-07,Training
6480,1084,Grade 2P,8990,2020-12-25,Test
681,1041,Grade 1,10431,2020-12-10,Training
2866,1099,,2289,2021-01-05,Training
1604,1000,Grade 1P,14536,2020-12-24,Training
1027,1151,Grade KP,3405,2021-01-04,Training
3702,1078,Grade 2P,12832,2020-12-23,Training
3677,1060,Grade 1,15660,2020-12-25,Training
4930,1078,Grade 1P,11492,2020-12-24,Training
4746,1019,Grade 2,803,2020-12-15,Training
1622,1000,Grade 1P,14536,2020-12-24,Training
6598,1099,Grade B1,12779,2021-01-18,Test
1983,1041,Grade 1P,3516,2020-12-25,Training
5493,1078,Grade 1,16361,2020-12-16,Test
4814,1151,Grade 1P,19674,2020-12-21,Training
1917,1151,Grade 2,6430,2021-01-23,Training
263,1041,,11076,2021-01-05,Training
2324,1072,Grade 2P,7273,2021-01-03,Training
5310,1086,Grade 2,3082,2020-12-01,Test
4437,1171,Grade 1P,2785,2021-01-27,Training
496,1098,Grade 2,1745,2021-01-20,Training
6339,1086,Grade 2,7339,2021-01-23,Test
4004,1078,,13081,2021-01-07,Training
3195,1078,Grade 1,16361,2020-12-16,Training
3881,1030,Grade 1P,8574,2021-01-07,Training
4637,1058,Grade 2,3357,2021-01-27,Training
590,1151,Grade 1P,660,2020-12-17,Training
847,1098,Grade A,3851,2021-01-23,Training
4590,1052,Grade 2,3719,2021-01-27,Training
5746,1045,Grade B1,4971,2021-01-07,Test
3435,1052,Grade KP,29895,2020-12-22,Training
80,1086,Grade 2,15429,2020-12-01,Training
5568,1041,Grade 2,13810,2020-12-24,Test
3392,1078,Grade 2,9587,2020-12-10,Training
1106,1098,Grade 1P,17778,2021-01-06,Training
4751,1060,Grade 1,9580,2021-01-09,Training
2308,1072,Grade 2P,7273,2021-01-03,Training
2348,1072,Grade 2P,7273,2021-01-03,Training
6086,1030,Grade 1,1548,2020-12-25,Test
5492,1078,Grade 1,16361,2020-12-16,Test
2822,1078,Grade 1P,10010,2021-01-14,Training
2609,1086,Grade 2,3082,2020-12-01,Training
5750,1030,Grade B1,4744,2021-01-07,Test
5818,1151,Grade 1,1407,2020-12-31,Test
3774,1098,Grade AP,12805,2020-12-23,Training
5101,1078,Grade B1,808,2020-12-30,Training
539,1079,Grade 1,1932,2021-01-18,Training
2190,1052,Grade 2,3692,2021-01-08,Training
3857,1030,Grade 1P,8574,2021-01-07,Training
5975,1041,Grade 2,15154,2020-12-15,Test
3550,1078,Grade WP,3569,2020-12-21,Training
5045,1053,Grade W1,8074,2020-12-14,Training
3565,1078,Grade 1P,7653,2020-12-19,Training
701,1079,Grade K1,10954,2021-01-15,Training
2162,1052,Grade 2,2173,2021-01-08,Training
6185,1072,Grade B1,20544,2020-12-15,Test
3243,1052,Grade 2,15453,2021-01-23,Training
478,1151,Grade 1,4735,2021-01-06,Training
4020,1078,,13081,2021-01-07,Training
3960,1060,Grade B1,6131,2021-01-07,Training
6101,1098,Grade 2,4710,2020-12-17,Test
5277,1072,Grade 2P,68,2021-01-21,Test
5078,1078,Grade 2P,5002,2020-12-01,Training
4545,1171,Grade 2,7613,2021-01-27,Training
2419,1078,Grade 2P,2301,2020-12-24,Training
4127,1077,Grade 1P,9184,2020-12-31,Training
748,1086,Grade 2,7339,2021-01-23,Training
406,1000,Grade 1,5725,2021-01-24,Training
4896,1151,Grade 2,7472,2021-01-10,Training
630,1084,Grade 1,8301,2020-12-05,Training
481,1151,Grade 1,2255,2021-01-20,Training
3325,1072,Grade 2,1123,2020-12-26,Training
1616,1000,Grade 1P,14536,2020-12-24,Training
3474,1078,Grade 2,6196,2021-01-23,Training
3469,1078,Grade 1,860,2021-01-23,Training
2698,1098,Grade 2,4710,2020-12-17,Training
3720,1077,Grade 2P,2723,2020-12-23,Training
5428,1019,Grade 1,10045,2020-12-23,Test
4248,1151,Grade 1,1407,2020-12-31,Training
516,1151,Grade 1,3405,2021-01-08,Training
5090,1099,Grade B1,16335,2020-12-23,Training
6088,1078,Grade B1,808,2020-12-30,Test
5887,1171,Grade 1P,2785,2021-01-27,Test
1247,1151,Grade 2P,10107,2020-12-23,Training
1840,1171,Grade 2,134,2020-12-04,Training
5748,1030,Grade B1,10045,2021-01-07,Test
816,1098,Grade A,7204,2021-01-23,Training
1054,1151,Grade 1P,10614,2021-01-13,Training
1888,1151,,2937,2020-12-01,Training
88,1086,Grade 2,15429,2020-12-01,Training
3374,1060,Grade 1,4613,2020-12-05,Training
3619,1041,Grade AP,12734,2020-12-31,Training
554,1151,Grade 1,13650,2020-12-16,Training
4560,1171,Grade 2,10948,2021-01-27,Training
156,1099,,6335,2020-12-17,Training
473,1151,Grade 1,4339,2021-01-06,Training
540,1079,Grade 1,1932,2021-01-18,Training
5218,1072,Grade 2P,7273,2021-01-03,Test
2606,1086,Grade 2,3082,2020-12-01,Training
6662,1171,Grade 2,134,2020-12-04,Test
4228,1151,Grade 1,1407,2020-12-31,Training
1910,1151,Grade 2,6430,2021-01-23,Training
198,1039,Grade 1P,5896,2021-01-14,Training
5069,1078,Grade 2P,8599,2020-12-01,Training
3187,1078,Grade 1,8888,2020-12-16,Training
5654,1078,Grade 2P,11853,2020-12-23,Test
3464,1078,Grade 1,860,2021-01-23,Training
4977,1045,Grade 1P,127,2020-12-24,Training
4750,1060,Grade 1,9580,2021-01-09,Training
4260,1151,Grade 1,1407,2020-12-31,Training
2572,1086,Grade 2,3082,2020-12-01,Training
398,1079,Grade 1,367,2021-01-24,Training
5935,1058,Grade 2,3357,2021-01-27,Test
1812,1171,Grade 2,134,2020-12-04,Training
4961,1045,Grade 1P,5536,2020-12-24,Training
2281,1099,Grade 1P,8624,2020-12-01,Training
6551,1099,Grade 1,8518,2021-01-16,Test
3553,1098,Grade 2,331,2020-12-19,Training
2367,1099,Grade 2,11405,2021-01-11,Training
2936,1052,Grade 1,7827,2021-01-24,Training
4409,1171,Grade 1P,2785,2021-01-27,Training
962,1151,Grade KP,3405,2021-01-04,Training
2855,1072,,328,2020-12-18,Training
1563,1099,Grade B1,3727,2021-01-18,Training
2508,1072,Grade 2P,68,2021-01-21,Training
5634,1019,Grade K1,476,2021-01-03,Test
1760,1171,Grade 2,9346,2020-12-04,Training
1302,1030,Grade 1P,8574,2021-01-07,Training
1806,1171,Grade 2,134,2020-12-04,Training
3151,1078,Grade 1,3423,2021-01-18,Training
1249,1151,Grade 2P,5885,2020-12-23,Training
1830,1171,Grade 2,134,2020-12-04,Training
5684,1078,Grade KP,206,2020-12-07,Test
1968,1079,Grade 2,17773,2021-01-23,Training
6144,1019,Grade 1,3247,2021-01-10,Test
1648,1000,Grade 1P,18433,2020-12-24,Training
6112,1099,,6335,2020-12-17,Test
2775,1099,,6335,2020-12-17,Training
4503,1171,Grade 1P,6020,2021-01-27,Training
208,1039,Grade 1P,5896,2021-01-14,Training
4053,1030,Grade B1,10123,2021-01-07,Training
440,1000,Grade 1,9759,2021-01-13,Training
1457,1098,Grade AP,7732,2021-01-23,Training
3662,1060,Grade 1,15660,2020-12-25,Training
3451,1045,Grade 2,19700,2020-12-24,Training
6357,1098,Grade A,7204,2021-01-23,Test
5832,1151,Grade 1,1407,2020-12-31,Test
2605,1086,Grade 2,3082,2020-12-01,Training
1836,1171,Grade 2,134,2020-12-04,Training
2307,1072,Grade 2P,7273,2021-01-03,Training
3871,1030,Grade 1P,8574,2021-01-07,Training
1976,1041,Grade 1P,3516,2020-12-25,Training
3629,1041,Grade 2P,15561,2020-12-04,Training
2686,1060,Grade 1,5272,2021-01-26,Training
3974,1060,Grade B1,6131,2021-01-07,Training
6265,1098,Grade 1P,2182,2021-01-28,Test
3131,1078,Grade 1,25846,2021-01-18,Training
6405,1151,Grade KP,3405,2021-01-04,Test
3889,1030,Grade 1P,6777,2021-01-07,Training
5700,1030,Grade 1P,8574,2021-01-07,Test
3068,1001,Grade 1,4339,2021-01-06,Training
2483,1072,Grade 2,3561,2020-12-24,Training
5929,1058,Grade 2,3357,2021-01-27,Test
711,1086,Grade 2,7339,2021-01-23,Training
1605,1000,Grade 1P,14536,2020-12-24,Training
1376,1099,Grade 1,2753,2020-12-31,Training
1120,1041,Grade AP,4474,2020-12-31,Training
3722,1078,Grade 2P,2723,2020-12-23,Training
4533,1171,Grade 1P,6020,2021-01-27,Training
1039,1041,Grade 2P,12655,2020-12-19,Training
5558,1041,Grade 2,1446,2020-12-10,Test
3063,1078,Grade 1,3974,2021-01-06,Training
2912,1052,Grade 2,11694,2021-01-27,Training
3680,1078,Grade 2P,13540,2020-12-23,Training
1966,1079,Grade 2,17773,2021-01-23,Training
965,1151,Grade KP,3405,2021-01-04,Training
1007,1151,Grade KP,3405,2021-01-04,Training
1745,1171,Grade 2,9346,2020-12-04,Training
3035,1078,Grade 1,8320,2020-12-23,Training
4091,1077,Grade 1P,5157,2021-01-07,Training
3058,1078,Grade 1,3974,2021-01-06,Training
2894,1099,Grade 1,13010,2020-12-15,Training
2120,1052,Grade 2,1266,2021-01-08,Training
1946,1079,Grade 2,17773,2021-01-23,Training
5175,1052,Grade 2,3692,2021-01-08,Test
6287,1041,Grade 2,6876,2021-01-23,Test
1193,1077,Grade 1P,718,2020-12-25,Training
5300,1086,Grade 2,3082,2020-12-01,Test
5797,1077,Grade 1P,19831,2020-12-31,Test
2147,1052,Grade 2,2173,2021-01-08,Training
2027,1041,Grade B1,5072,2020-12-25,Training
3520,1098,Grade A,7204,2021-01-23,Training
2925,1052,Grade 2,11694,2021-01-27,Training
2123,1052,Grade 2,1266,2021-01-08,Training
5169,1052,Grade 2,3692,2021-01-08,Test
6128,1039,Grade 1P,5896,2021-01-14,Test
741,1086,Grade 2,7339,2021-01-23,Training
2412,1078,Grade 2P,2301,2020-12-24,Training
326,1079,Grade B1,1273,2020-12-29,Training
5531,1072,Grade 2,1123,2020-12-26,Test
4519,1171,Grade 1P,6020,2021-01-27,Training
1416,1099,Grade 1,8518,2021-01-16,Training
37,1099,Grade 1P,5613,2020-12-26,Training
1357,1030,Grade 1P,6777,2021-01-07,Training
2337,1072,Grade 2P,7273,2021-01-03,Training
3876,1030,Grade 1P,8574,2021-01-07,Training
301,1098,,1312,2021-01-05,Training
4297,1151,Grade 1,1407,2020-12-31,Training
2897,1099,Grade 1,13010,2020-12-15,Training
1810,1171,Grade 2,134,2020-12-04,Training
5325,1053,Grade B1,2353,2020-12-29,Test
4211,1151,Grade 1,1407,2020-12-31,Training
2438,1078,Grade 2P,2767,2020-12-24,Training
5924,1052,Grade 2,3719,2021-01-27,Test
3771,1078,Grade AP,2149,2020-12-23,Training
4119,1030,Grade 1P,2106,2020-12-31,Training
6654,1171,Grade 2,9346,2020-12-04,Test
4892,1098,Grade P1,9043,2020-12-01,Training
3787,1151,Grade 1,8744,2020-12-26,Training
4874,1098,Grade 1P,6267,2021-01-21,Training
2608,1086,Grade 2,3082,2020-12-01,Training
1931,1079,Grade 2,1494,2021-01-23,Training
6677,1041,Grade 2P,8599,2020-12-01,Test
5895,1171,Grade 1P,6020,2021-01-27,Test
2661,1060,Grade 1,3335,2021-01-26,Training
686,1041,Grade 2,313,2020-12-24,Training
6000,1151,Grade 1P,19674,2020-12-21,Test
1080,1151,Grade 1P,10734,2021-01-13,Training
4335,1052,Grade B1,2368,2020-12-04,Training
2546,1098,Grade P1,4276,2020-12-07,Training
474,1151,Grade 1,1644,2021-01-06,Training
6353,1098,Grade A,7204,2021-01-23,Test
6440,1079,Grade 1P,5377,2021-01-13,Test
3152,1078,Grade 1,3423,2021-01-18,Training
2108,1052,Grade 2,1266,2021-01-08,Training
4094,1077,Grade 1P,5157,2021-01-07,Training
5576,1078,Grade 1,860,2021-01-23,Test
838,1098,Grade A,3851,2021-01-23,Training
5578,1078,Grade 2,6196,2021-01-23,Test
4986,1045,Grade 1P,127,2020-12-24,Training
3842,1030,Grade 1P,5283,2021-01-07,Training
5979,1060,Grade 1,9580,2021-01-09,Test
3547,1078,Grade WP,16820,2020-12-21,Training
4756,1060,Grade 1,9580,2021-01-09,Training
351,1045,Grade 2,5697,2021-01-24,Training
1887,1151,,2937,2020-12-01,Training
3388,1052,Grade 2,2054,2020-12-10,Training
6095,1086,Grade 2,15429,2020-12-01,Test
987,1151,Grade KP,3405,2021-01-04,Training
3312,1072,Grade 2,1123,2020-12-26,Training
470,1041,Grade 1,2699,2020-12-23,Training
6742,1151,Grade 1,15671,2020-12-23,Test
1113,1041,Grade AP,9939,2020-12-31,Training
157,1099,,6335,2020-12-17,Training
356,1099,Grade 2,13550,2021-01-24,Training
6491,1151,Grade 2P,10107,2020-12-23,Test
2478,1078,Grade 2P,7408,2020-12-24,Training
5956,1041,Grade 2,1300,2020-12-15,Test
6543,1098,Grade B1,3264,2020-12-04,Test
5863,1045,Grade B1,5440,2020-12-04,Test
5882,1171,Grade 1P,2785,2021-01-27,Test
3146,1078,Grade 1,25846,2021-01-18,Training
566,1151,Grade 1P,2720,2020-12-16,Training
6436,1151,Grade 1P,12805,2021-01-13,Test
2915,1052,Grade 2,11694,2021-01-27,Training
1516,1098,Grade AP,6847,2020-12-13,Training
549,1079,Grade 1,4895,2021-01-11,Training
4699,1041,Grade 2,1300,2020-12-15,Training
4347,1052,Grade B1,3127,2020-12-04,Training
4880,1099,Grade B1,3727,2021-01-18,Training
5474,1078,Grade 1,8888,2020-12-16,Test
5538,1060,Grade 1,4613,2020-12-05,Test
5569,1041,Grade 2,19700,2020-12-24,Test
805,1098,Grade A,7204,2021-01-23,Training
5574,1151,Grade K1,2054,2021-01-15,Test
3591,1041,Grade AP,7991,2020-12-31,Training
2233,1052,Grade 1,14215,2020-12-29,Training
752,1086,Grade 2,7339,2021-01-23,Training
5311,1086,Grade 2,3082,2020-12-01,Test
2244,1099,Grade 1P,8624,2020-12-01,Training
3908,1060,Grade 1P,11039,2021-01-07,Training
3557,1078,Grade 1P,7653,2020-12-19,Training
3493,1084,Grade 2,7079,2021-01-23,Training
4707,1041,Grade 2,12873,2020-12-15,Training
1864,1041,Grade 2P,8599,2020-12-01,Training
79,1086,Grade 2,15429,2020-12-01,Training
167,1098,Grade 1,91,2021-01-23,Training
1950,1079,Grade 2,17773,2021-01-23,Training
5552,1078,Grade 2,9587,2020-12-10,Test
4219,1151,Grade 1,1407,2020-12-31,Training
1198,1084,Grade 2P,8990,2020-12-25,Training
6690,1151,,2937,2020-12-01,Test
5098,1078,Grade 1P,1245,2020-12-03,Training
1519,1098,Grade AP,6847,2020-12-13,Training
3136,1078,Grade 1,25846,2021-01-18,Training
3815,1078,Grade 1P,11809,2020-12-19,Training
179,1039,Grade 1P,5896,2021-01-14,Training
383,1079,Grade 1,11731,2021-01-24,Training
4742,1041,Grade 2,4189,2020-12-15,Training
6001,1151,Grade 1P,19674,2020-12-21,Test
6037,1045,Grade 1P,11032,2020-12-24,Test
6053,1045,Grade 1P,127,2020-12-24,Test
2196,1052,Grade 2,3692,2021-01-08,Training
1204,1084,Grade 2P,8990,2020-12-25,Training
627,1041,Grade 2,749,2021-01-23,Training
5290,1086,Grade 2,9822,2020-12-01,Test
2927,1052,Grade 2,22572,2021-01-27,Training
2529,1052,Grade 1,6078,2020-12-18,Training
4753,1060,Grade 1,9580,2021-01-09,Training
6455,1041,Grade AP,4489,2020-12-31,Test
4443,1171,Grade 2P,18070,2021-01-27,Training
1514,1098,Grade AP,6847,2020-12-13,Training
378,1079,Grade 1,11731,2021-01-24,Training
4752,1060,Grade 1,9580,2021-01-09,Training
313,1079,,10127,2021-01-01,Training
3169,1078,Grade 1,8888,2020-12-16,Training
3592,1041,Grade AP,7991,2020-12-31,Training
4769,1060,Grade 1,9580,2021-01-09,Training
937,1098,Grade A,1471,2021-01-23,Training
4613,1058,Grade 2,3357,2021-01-27,Training
5593,1098,Grade A,7204,2021-01-23,Test
3941,1060,Grade B1,6131,2021-01-07,Training
3333,1072,Grade 2,1123,2020-12-26,Training
5488,1078,Grade 1,8888,2020-12-16,Test
2901,1052,Grade 2,12004,2021-01-27,Training
5145,1052,Grade 2,2173,2021-01-08,Test
6583,1098,Grade AP,6847,2020-12-13,Test
2357,1072,Grade 2P,7273,2021-01-03,Training
6311,1041,Grade 1,9116,2020-12-10,Test
1538,1098,Grade AP,17636,2020-12-13,Training
1711,1171,Grade 2,2913,2020-12-04,Training
2322,1072,Grade 2P,7273,2021-01-03,Training
327,1079,Grade B1,1273,2020-12-29,Training
248,1045,,644,2020-12-18,Training
3460,1151,Grade K1,2054,2021-01-15,Training
2748,1053,Grade B1,463,2021-01-02,Training
2007,1041,Grade B1,5072,2020-12-25,Training
6696,1151,Grade 2,290,2020-12-01,Test
3384,1052,Grade 2,1548,2020-12-10,Training
4045,1078,Grade B1,4744,2021-01-07,Training
4271,1151,Grade 1,1407,2020-12-31,Training
5984,1060,Grade 1,9580,2021-01-09,Test
1286,1030,Grade 1P,5283,2021-01-07,Training
91,1086,Grade 2,15429,2020-12-01,Training
4615,1058,Grade 2,3357,2021-01-27,Training
323,1079,Grade B1,1273,2020-12-29,Training
1051,1151,Grade 1P,12805,2021-01-13,Training
5343,1078,Grade 1P,2252,2021-01-14,Test
3487,1084,Grade 2,7079,2021-01-23,Training
6533,1030,Grade 1P,6777,2021-01-07,Test
2969,1019,Grade 2,11615,2021-01-13,Training
6299,1086,Grade 1,5794,2020-12-05,Test
1845,1171,Grade 2,134,2020-12-04,Training
1667,1000,Grade 1P,18433,2020-12-24,Training
